No #,Email title,Device Location,Device Model,,Device Serial #,Column1,Reading,To include meter,Device Email Address
006 -,%printer - %serial - Counter -,Block 3 Level 7 School of Hospitality (SOH),", TASKalfa 5004i",https://172.27.84.73/,W7F3501405,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 3 Level 7 School of Hospitality (SOH),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,konicaminolta@ite.edu.sg
6,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 3 Level 7 School of Hospitality (SOH),TASKalfa 5004i,,W7F3501405,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 3 Level 7 School of Hospitality (SOH),,
007 -,%printer - %serial - Counter -,Block 3 Level 7 School of Hospitality (SOH),", TASKalfa 5004i",https://172.27.84.74/,W7F3501393,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 3 Level 7 School of Hospitality (SOH),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-3701-p3@ite.edu.sg
7,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 3 Level 7 School of Hospitality (SOH),TASKalfa 5004i,,W7F3501393,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 3 Level 7 School of Hospitality (SOH),,
008 -,%printer - %serial - Counter -,Block 3 Level 7 School of Hospitality (SOH),", TASKalfa 5054ci",https://172.27.84.90/,W792Y00917,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 3 Level 7 School of Hospitality (SOH),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,kyoceraHFS@ite.edu.sg
8,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 3 Level 7 School of Hospitality (SOH),TASKalfa 5054ci,,W792Y00917,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 3 Level 7 School of Hospitality (SOH),,
009 -,%printer - %serial - Counter -,Block 3 Level 8 College Administration Services (CAS),", TASKalfa 5054ci",https://172.27.84.57/,W793601403,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 3 Level 8 College Administration Services (CAS),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-3801-pc1@ite.edu.sg
9,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 3 Level 8 College Administration Services (CAS),TASKalfa 5054ci,,W793601403,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 3 Level 8 College Administration Services (CAS),,
010 -,%printer - %serial - Counter -,Block 3 Level 8 School of Engineering (FME),", TASKalfa 5004i",https://172.27.84.75/,W7F3501399,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 3 Level 8 School of Engineering (FME),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,bh558@ite.edu.sg
10,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 3 Level 8 School of Engineering (FME),TASKalfa 5004i,,W7F3501399,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 3 Level 8 School of Engineering (FME),,
011 -,%printer - %serial - Counter -,Block 3 Level 9 (P Office),", TASKalfa 5054ci",https://172.27.84.77/,W793601330,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 3 Level 9 (P Office),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,km_c458@ite.edu.sg
11,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 3 Level 9 (P Office),TASKalfa 5054ci,,W793601330,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 3 Level 9 (P Office),,
012 -,%printer - %serial - Counter -,Block 4 Level 4 School of Business (Lifeskills),", TASKalfa 5004i",https://172.27.108.45/,W7F3601568,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 4 Level 4 School of Business (Lifeskills),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-4410-p1@ite.edu.sg
12,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 4 Level 4 School of Business (Lifeskills),TASKalfa 5004i,,W7F3601568,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 4 Level 4 School of Business (Lifeskills),,
013 -,%printer - %serial - Counter -,Block 4 Level 5 School of Business (Trade),", TASKalfa 5004i",https://172.27.108.34/,W7F3501460,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 4 Level 5 School of Business (Trade),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-4503-p1@ite.edu.sg
13,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 4 Level 5 School of Business (Trade),TASKalfa 5004i,,W7F3501460,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 4 Level 5 School of Business (Trade),,
014 -,%printer - %serial - Counter -,Block 4 Level 5 School of Business (Trade),", TASKalfa 5004i",https://172.27.108.35/,W7F3501401,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 4 Level 5 School of Business (Trade),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,558e@ite.edu.sg
14,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 4 Level 5 School of Business (Trade),TASKalfa 5004i,,W7F3501401,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 4 Level 5 School of Business (Trade),,
015 -,%printer - %serial - Counter -,Block 4 Level 5 School of Business (Trade),", TASKalfa 5004i",https://172.27.108.36/,W7F3501425,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,"%printer - %serial - %etheraddr - %host - %ip - Counter - Block 4 Level 5 School of Business (Trade), TASKalfa 5004i",kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-4503-p3@ite.edu.sg
15,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 4 Level 5 School of Business (Trade),TASKalfa 5004i,,W7F3501425,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,"%printer - %serial - %etheraddr - %host - %ip - Toner - Block 4 Level 5 School of Business (Trade), TASKalfa 5004i",,
016 -,%printer - %serial - Counter -,Block 5 Level 5 School of Electronics & ICT (SEIT),", TASKalfa 5004i",https://172.27.132.41/,W7F3601564,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 5 Level 5 School of Electronics & ICT (SEIT),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-5503-eit-p6@ite.ecu.sg
16,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 5 Level 5 School of Electronics & ICT (SEIT),TASKalfa 5004i,,W7F3601564,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 5 Level 5 School of Electronics & ICT (SEIT),,
017 -,%printer - %serial - Counter -,Block 5 Level 5 School of Electronics & ICT (SEIT),", TASKalfa 5004i",https://172.27.132.42/,W7F3601563,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 5 Level 5 School of Electronics & ICT (SEIT),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-5503-p2@ite.edu.sg
17,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 5 Level 5 School of Electronics & ICT (SEIT),TASKalfa 5004i,,W7F3601563,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 5 Level 5 School of Electronics & ICT (SEIT),,
018 -,%printer - %serial - Counter -,Block 5 Level 5 School of Electronics & ICT (SEIT),", TASKalfa 5004i",https://172.27.132.43/,W7F3601570,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 5 Level 5 School of Electronics & ICT (SEIT),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-5503-p1@ite.edu.sg
18,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 5 Level 5 School of Electronics & ICT (SEIT),TASKalfa 5004i,,W7F3601570,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 5 Level 5 School of Electronics & ICT (SEIT),,
019 -,%printer - %serial - Counter -,Block 5 Level 5 School of Electronics & ICT (SEIT),", TASKalfa 5004i",https://172.27.132.44/,W7F3601552,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 5 Level 5 School of Electronics & ICT (SEIT),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-5503-p3@ite.edu.sg
19,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 5 Level 5 School of Electronics & ICT (SEIT),TASKalfa 5004i,,W7F3601552,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 5 Level 5 School of Electronics & ICT (SEIT),,
020 -,%printer - %serial - Counter -,Block 5 Level 5 School of Electronics & ICT (SEIT),", TASKalfa 5004i",https://172.27.132.45/,W7F3601555,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 5 Level 5 School of Electronics & ICT (SEIT),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-5503-p4@ite.edu.sg
20,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 5 Level 5 School of Electronics & ICT (SEIT),TASKalfa 5004i,,W7F3601555,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 5 Level 5 School of Electronics & ICT (SEIT),,
021 -,%printer - %serial - Counter -,Block 5 Level 5 School of Electronics & ICT (SEIT),", TASKalfa 5054ci",https://172.27.132.49/,W794302146,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 5 Level 5 School of Electronics & ICT (SEIT),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,kyocera1533@ite.edu.sg
21,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 5 Level 5 School of Electronics & ICT (SEIT),TASKalfa 5054ci,,W794302146,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 5 Level 5 School of Electronics & ICT (SEIT),,
022 -,%printer - %serial - Counter -,Block 6 Level 3 School of Business (PE),", TASKalfa 5004i",https://172.27.156.40/,W7F3601615,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 6 Level 3 School of Business (PE),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-6312-p1@ite.edu.sg
22,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 6 Level 3 School of Business (PE),TASKalfa 5004i,,W7F3601615,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 6 Level 3 School of Business (PE),,
023 -,%printer - %serial - Counter -,Block 6 Level 5 School of Engineering (SOE SH Room),", TASKalfa 5054ci",https://172.27.156.40/,W793601285,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 6 Level 5 School of Engineering (SOE SH Room),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-6503-p5@ite.edu.sg
23,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 6 Level 5 School of Engineering (SOE SH Room),TASKalfa 5054ci,,W793601285,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 6 Level 5 School of Engineering (SOE SH Room),,
024 -,%printer - %serial - Counter -,Block 6 Level 5 School of Engineering (SOE),", TASKalfa 5004i",https://172.27.156.48/,W7F3601558,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 6 Level 5 School of Engineering (SOE),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,km_bh558@ite.edu.sg
24,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 6 Level 5 School of Engineering (SOE),TASKalfa 5004i,,W7F3601558,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 6 Level 5 School of Engineering (SOE),,
025 -,%printer - %serial - Counter -,Block 6 Level 5 School of Engineering (SOE),", TASKalfa 5004i",https://172.27.156.49/,W7F3701780,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 6 Level 5 School of Engineering (SOE),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,km_558e@ite.edu.sg
25,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 6 Level 5 School of Engineering (SOE),TASKalfa 5004i,,W7F3701780,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 6 Level 5 School of Engineering (SOE),,
026 -,%printer - %serial - Counter -,Block 6 Level 5 School of Engineering (SOE),", TASKalfa 5004i",https://172.27.156.50/,W7F3701713,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 6 Level 5 School of Engineering (SOE),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-6503-p1@ite.edu.sg
26,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 6 Level 5 School of Engineering (SOE),TASKalfa 5004i,,W7F3701713,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 6 Level 5 School of Engineering (SOE),,
027 -,%printer - %serial - Counter -,Block 6 Level 5 School of Engineering (SOE),", TASKalfa 5004i",https://172.27.156.51/,W7F3601550,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 6 Level 5 School of Engineering (SOE),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,km_558e@ite.edu.sg
27,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 6 Level 5 School of Engineering (SOE),TASKalfa 5004i,,W7F3601550,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 6 Level 5 School of Engineering (SOE),,
028 -,%printer - %serial - Counter -,Block 6 Level 5 School of Engineering (SOE),", TASKalfa 5004i",https://172.27.156.53/,W7F3601610,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 6 Level 5 School of Engineering (SOE),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,cw-6503-p6@ite.edu.sg
28,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 6 Level 5 School of Engineering (SOE),TASKalfa 5004i,,W7F3601610,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 6 Level 5 School of Engineering (SOE),,
